Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_025,oa1,8,128,65,long,385,545,2627
SW_026,oo1,1,281,50,long,398.218931713712,574,2765.94827281847
SW_026,oo1,1,281,65,long,429.727867245672,604,2942.32228333436
SW_026,oo1,2,282,65,long,336.335503472792,497,2787
SW_026,oo1,2,282,80,long,393.624413747433,504,2555.68394473039
SW_026,oo1,4,284,50,long,396.26166106265,677,2792.31290506403
SW_026,oo1,4,284,65,long,324,944,2927.01949124534
SW_026,oo1,4,284,80,long,290.504192093948,677,2379.75716836153
SW_026,oo1,5,285,50,long,362,650,2937
SW_026,oo1,5,285,65,long,382,789,2638
SW_026,oo1,5,285,80,long,393.86964024436,1064,2789.31421142407
SW_026,oo1,6,286,50,long,401.165402589231,765,2763
SW_026,oo1,6,286,65,long,376.611712855648,1032,2605.2654129055
SW_026,oo1,6,286,80,long,391,733,2904.29951341975
SW_026,oo1,7,287,65,long,442.22214251851,765,2631
SW_026,oo1,7,287,80,long,416.187138555192,1131,2665
SW_026,oo1,8,288,65,long,424,647,2970
SW_026,oo1,8,288,80,long,412,573,2709.34907532749
SW_026,oo1,10,290,65,long,412.526624553396,635,2850
SW_026,oh1,8,298,20,short,459,720,2731
SW_026,oa1,3,383,50,long,449.506489877827,662,2728
SW_026,oa1,7,387,35,long,363,455,2844
SW_026,oa1,8,388,35,long,369.153964469035,516,3046.05235238809
SW_026,oa1,10,390,35,long,369.454718348924,545,2743
SW_029,oo1,3,943,80,long,405,1202,2518
SW_029,oh1,1,951,20,short,519,795,2639
SW_029,oh1,1,951,35,short,550,743,2615
SW_030,oh1,2,1172,20,short,474,814,2943
SW_030,oh1,2,1172,35,short,495,854,2838
SW_030,oh1,3,1173,20,short,482,794,2840
SW_030,oh1,3,1173,35,short,507,830,3028
SW_030,oh1,4,1174,20,short,464.508060115483,829.837350426151,2644.70243926912
SW_030,oh1,4,1174,35,short,454.650283264552,717.186438451794,2778
SW_030,oh1,5,1175,20,short,501,754,2860
SW_030,oh1,5,1175,35,short,509,781.728854157959,2778
SW_030,oh1,7,1177,20,short,470,913,2613
SW_030,oh1,7,1177,35,short,495,913,2577
SW_030,oh1,8,1178,20,short,467,772,2740
SW_030,oh1,8,1178,35,short,464,794,2776
SW_030,oh1,10,1180,20,short,475,908,2538
SW_030,oh1,10,1180,35,short,494,809,2566
SW_031,oh1,2,1392,20,short,452,784,2737
SW_031,oh1,2,1392,35,short,505,772,2866
SW_031,oh1,2,1392,80,short,395,1210,2946
SW_031,oh1,4,1394,20,short,522,911,2714
SW_031,oh1,4,1394,35,short,563,812,2530
SW_031,oh1,6,1396,20,short,501,825,2783
SW_031,oa1,1,1481,80,long,532.203462994018,1321.77473187668,2326.25625244126
SW_031,oa1,2,1482,80,long,494.897285148008,1257.25359448154,2236.9844229543
SW_031,oa1,3,1483,80,long,405.470407483227,1275.05603832056,2457.49311629852
SW_031,oa1,4,1484,80,long,485.567112434331,1205.96354559284,2436.18685977348
SW_031,oa1,6,1486,80,long,448.153148854612,1240.78133200186,2362.51042563209
SW_031,oa1,7,1487,80,long,497.264368803768,1211.61407068001,2249.10777484651
SW_031,oa1,8,1488,80,long,485.474234844052,1245.29000152851,2382.39721276608
SW_031,oa1,10,1490,80,long,477.580518835278,1276.92807345902,2353.52261628003
SW_032,aa1,1,1541,20,long,493,785,2419
SW_032,aa1,1,1541,35,long,525,811.639952314933,2595
SW_032,aa1,1,1541,50,long,443,774.145050136737,2823
SW_032,aa1,1,1541,65,long,394,875,2872
SW_032,aa1,1,1541,80,long,592,875,2598
SW_032,aa1,2,1542,20,long,495,779.525823205388,2701
SW_032,aa1,2,1542,35,long,434,766,2913
SW_032,aa1,2,1542,50,long,408,745,2904
SW_032,aa1,2,1542,65,long,402,708,2789
SW_032,aa1,2,1542,80,long,627,793,2558
SW_032,aa1,3,1543,20,long,540,776,2648
SW_032,aa1,3,1543,35,long,544.239140584062,757.026701880096,2612.68463267525
SW_032,aa1,3,1543,50,long,403.154051803293,686.048715938259,2636.119243604
SW_032,aa1,3,1543,65,long,507,732.580830271066,2662.22757816483
SW_032,aa1,3,1543,80,long,580,754.176665444167,2609.2265520685
SW_032,aa1,4,1544,20,long,537.355379495976,852.154311331297,2549.90021898471
SW_032,aa1,4,1544,35,long,565.43033813314,842.069794351123,2540.29977987292
SW_032,aa1,4,1544,50,long,507,759.828786659962,2572.16799960172
SW_032,aa1,4,1544,65,long,488.699350017261,754.008284402338,2608.21536293088
SW_032,aa1,4,1544,80,long,444.584501630792,720.107195204145,2589.90989293443
SW_032,aa1,5,1545,20,long,561.31381218044,834.989897646705,2578.30316029818
SW_032,aa1,5,1545,35,long,545,760.426279522699,2628.45719423022
SW_032,aa1,5,1545,50,long,589,734.219230985358,2643.56607371681
SW_032,aa1,5,1545,65,long,518.736768349991,766.585863319634,2605.87436095044
SW_032,aa1,5,1545,80,long,554,866.22090968127,2529.92351692269
SW_032,aa1,6,1546,20,long,578,765.685176520409,2544.88718578152
SW_032,aa1,6,1546,35,long,496.537789653175,717.828516746644,2586.18069712037
SW_032,aa1,6,1546,50,long,463,757,2620.06429193847
SW_032,aa1,6,1546,65,long,493,704,2626
SW_032,aa1,6,1546,80,long,507,772,2572
SW_032,aa1,7,1547,20,long,512.32049110393,754.393818574652,2518.24429360319
SW_032,aa1,7,1547,35,long,463,741,2637
SW_032,aa1,7,1547,50,long,505,765,2775
SW_032,aa1,7,1547,65,long,483.201220143198,695.867270952158,2929.51862528933
SW_032,aa1,7,1547,80,long,434,692,2551
SW_032,aa1,8,1548,20,long,441,819,2854
SW_032,aa1,8,1548,35,long,405,682,2831
SW_032,aa1,8,1548,50,long,507,743,2878
SW_032,aa1,8,1548,65,long,511,740,2951
SW_032,aa1,8,1548,80,long,495,701,2847
SW_032,aa1,9,1549,20,long,463,767,2587
SW_032,aa1,9,1549,35,long,493,763,2770
SW_032,aa1,9,1549,50,long,391,728,2926
SW_032,aa1,9,1549,65,long,430,740,2935
SW_032,aa1,9,1549,80,long,376,690,2692
SW_032,aa1,10,1550,20,long,566,787,2510
SW_032,aa1,10,1550,35,long,396.649140202263,763.983554623903,2619.54480463381
SW_032,aa1,10,1550,50,long,411.245301508587,756.504197586019,2717.12045850509
SW_032,aa1,10,1550,65,long,410.742378000541,725.898878137143,2717.09825122719
SW_032,aa1,10,1550,80,long,580,784,2616
SW_032,oo1,2,1602,20,long,428,906,2662
SW_032,oo1,2,1602,80,long,517.370209289991,721,2555.62735451646
SW_032,oo1,3,1603,65,long,421.311144635266,662,2746.73532296027
SW_032,oo1,4,1604,65,long,466.482217279045,794,2596.97284808882
SW_032,oo1,5,1605,80,long,451,823,2412.89145021574
SW_032,oo1,8,1608,65,long,390.496046667659,721,2686.75172363709
SW_032,oh1,1,1611,50,short,413,702,2655.83282653762
SW_032,oh1,2,1612,20,short,461,811,2614
SW_032,oh1,4,1614,80,short,429,753,2760.32777803963
SW_032,oa1,1,1701,20,long,377.612918543993,611,2554.51621226787
SW_032,oa1,1,1701,35,long,373.995351531509,681,2490
SW_032,oa1,4,1704,50,long,475.143111561098,604,2509.97688539528
SW_032,oa1,7,1707,65,long,465.675204122086,601,2462.46474798658
SW_032,oa1,8,1708,80,long,442,627.508976974357,2503.15102003117
SW_033,oo1,2,1822,65,long,384,706,2567.80858744169
SW_033,oo1,3,1823,65,long,338.367350543268,677,2666.42303697373
SW_033,oo1,6,1826,50,long,317.182827288424,634,2863.56269359478
SW_033,oo1,6,1826,65,long,204,589,2555.26306558349
SW_033,oo1,9,1829,65,long,214.251481379291,560,2796.09286185961
SW_033,oo1,9,1829,80,long,314.403928390312,735,2784.48130192688
SW_033,oa1,3,1923,35,long,411.639217616386,633,2799
SW_033,oa1,4,1924,65,long,442,662,2875
SW_033,oa1,5,1925,65,long,358.829472559044,574,2818
SW_033,oa1,9,1929,65,long,380.596931624442,560,2871.45268868409
SW_034,oo1,2,2042,20,long,485,722,2576
SW_034,oo1,3,2043,20,long,458,636,2597
SW_034,oo1,5,2045,20,long,447,742,2465
SW_034,oo1,5,2045,35,long,438,627,2840
SW_034,oo1,6,2046,35,long,451.123227340299,762,3079
SW_034,oo1,7,2047,35,long,474,701,2999
SW_036,oo1,8,2488,20,long,502,849,2618
SW_036,oh1,1,2491,35,short,418,680,2891
SW_036,oh1,2,2492,20,short,558,948,2847
SW_036,oh1,2,2492,35,short,490,749,2806
SW_036,oh1,4,2494,20,short,403,749,2746
SW_036,oh1,4,2494,35,short,393,706,2732.18752247268
SW_036,oh1,5,2495,35,short,420,647,2885
SW_036,oh1,6,2496,20,short,464,728,2761
SW_036,oh1,6,2496,35,short,439,661,2824
SW_036,oh1,8,2498,20,short,466,652,2726
SW_036,oh1,8,2498,35,short,473,739,2874
SW_036,oa1,6,2586,35,long,448.403304669273,604,2828
SW_037,oo1,1,2701,65,long,374,739,2870
SW_037,oo1,2,2702,50,long,381.95552378403,580,2891
SW_037,oo1,2,2702,65,long,415.452542428902,551,2858
SW_037,oo1,2,2702,80,long,396.917148798181,1065,2710
SW_037,oo1,3,2703,50,long,372.873753740837,595,2712
SW_037,oo1,3,2703,65,long,382.023970280486,609,2692
SW_037,oo1,4,2704,65,long,236,799,2754.82363171996
SW_037,oo1,5,2705,35,long,240,497,2797
SW_037,oo1,5,2705,50,long,230,522,2799
SW_037,oo1,6,2706,65,long,464.818544119652,741,2984.15082588378
SW_037,oo1,6,2706,80,long,425.298738962979,872,2858
SW_037,oo1,7,2707,65,long,451,642,2872
SW_037,oo1,7,2707,80,long,405.162906704357,1025,2776
SW_037,oo1,8,2708,50,long,269.405539725394,595,3082.13706838144
SW_037,oo1,8,2708,65,long,268.765151102233,536,2843
SW_037,oo1,8,2708,80,long,272.133174207429,799,2895.68491490775
SW_037,oo1,9,2709,50,long,303.828346993708,551,3101.93690992887
SW_037,oo1,9,2709,65,long,308.708636914589,653,2712
SW_037,oo1,9,2709,80,long,303,900,3153
SW_037,oo1,10,2710,35,long,345.760319827992,595,2960
SW_037,oo1,10,2710,50,long,405.627432942368,551,3033
SW_037,oo1,10,2710,65,long,391,580,2887
SW_037,oh1,3,2713,20,short,556,763,2770
SW_037,oh1,3,2713,35,short,534,854,2751.61965882949
SW_037,oh1,4,2714,20,short,531,771,2793
SW_037,oh1,4,2714,35,short,553,783.442784272903,2862
SW_037,oh1,5,2715,20,short,532,684,2704
SW_037,oh1,5,2715,35,short,505,647,2783
SW_037,oh1,6,2716,20,short,508.288101065642,751.736463925883,2617.18244843287
SW_037,oh1,6,2716,35,short,521,781,2844
SW_037,oh1,7,2717,20,short,444,676,2866
SW_037,oh1,7,2717,35,short,510,616,2993
SW_037,oh1,8,2718,20,short,486.444766790572,667,2739
SW_037,oh1,8,2718,35,short,494,798,2794
SW_037,oh1,10,2720,20,short,514.551545445529,775.966584076326,2844
SW_037,oh1,10,2720,35,short,532,728,2890
SW_037,oa1,7,2807,35,long,387.148048246941,566,2809
SW_037,oa1,7,2807,50,long,406.469823771733,549,2928.83779163773
SW_039,oo1,1,3141,65,long,369,765,2640
SW_039,oo1,1,3141,80,long,337,1098,3000
SW_039,oo1,2,3142,65,long,311,662,2670
SW_039,oo1,3,3143,50,long,311,706,2743
SW_039,oo1,3,3143,65,long,373.619718300008,735,2875
SW_039,oo1,4,3144,35,long,364,669,2928
SW_039,oo1,4,3144,50,long,239,436,3144
SW_039,oo1,5,3145,50,long,384,722,2740
SW_039,oo1,5,3145,65,long,331.851197675397,706,3040.99259799995
SW_039,oo1,6,3146,50,long,380,763,2753
SW_039,oo1,7,3147,80,long,391.756111282198,838,2626
SW_039,oo1,8,3148,50,long,369,662,3043.7330100613
SW_039,oo1,8,3148,80,long,416.665596183559,801,3106
SW_039,oa1,3,3243,35,long,359.269980097488,547,3018
SW_039,oa1,5,3245,50,long,327,501,3084
SW_040,oo1,7,3367,20,long,442,624,2402
SW_040,oo1,9,3369,65,long,421.868434151948,697,2744.99269275366
SW_040,oh1,2,3372,20,short,388,968,2654
SW_040,oh1,5,3375,20,short,457,701,2523.70878448368
SW_040,oa1,1,3461,35,long,340,502,2689
SW_040,oa1,5,3465,35,long,406.245067167538,633,2731
SW_040,oa1,9,3469,50,long,421,700,2827
SW_041,oo1,9,3589,80,long,319.513676963475,1112,2827
SW_042,oo1,1,61,50,long,379,832,2477
SW_042,oo1,1,61,65,long,305.476358424442,858,2548
SW_042,oo1,1,61,80,long,377.607866966492,1196,2673
SW_042,oo1,2,62,65,long,394.565702183427,706,2630.10896678024
SW_042,oo1,2,62,80,long,341.530923897019,882,2523
SW_042,oo1,3,63,50,long,178.848426505767,633,2507.18822988733
SW_042,oo1,3,63,65,long,337.65627571024,984,2619.81690694324
SW_042,oo1,3,63,80,long,230.008600319212,1193,2664.28920984084
SW_042,oo1,4,64,20,long,343.322930470929,765,2738.67022626244
SW_042,oo1,5,65,35,long,479.305427637367,727,2375
SW_042,oo1,5,65,65,long,338.874253442983,721,2667.1907513707
SW_042,oo1,5,65,80,long,302.592838547176,1097,2715
SW_042,oo1,6,66,35,long,436,747,2723
SW_042,oo1,6,66,50,long,340,736,2597
SW_042,oo1,7,67,35,long,381,715,2717
SW_042,oo1,8,68,80,long,354,1138,2644
SW_042,oo1,10,70,35,long,409,714,2697
SW_042,oo1,10,70,80,long,278,1144,2800
SW_042,oh1,1,71,35,short,438,677,2843
SW_042,oh1,1,71,50,short,492,702,2923
SW_042,oh1,3,73,50,short,450,779,2493
SW_042,oh1,3,73,65,short,397.856527120446,805,2549
SW_042,oh1,6,76,20,short,427.750539305856,772,2461
SW_042,oh1,6,76,35,short,474.881738058962,753,2688
SW_042,oh1,6,76,50,short,506,779,2682
SW_044,oh1,10,3820,35,short,507,702,2817
SW_045,oo1,2,4022,35,long,332,660,2868
SW_045,oo1,3,4023,20,long,226,539,2458
SW_045,oo1,3,4023,50,long,253.639642620287,604,2479
SW_045,oo1,7,4027,35,long,203,745,2567
SW_045,oo1,8,4028,50,long,228,608,2913
SW_045,oo1,10,4030,65,long,354,809,2509
