Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,cumulative_probability_F1F2
SW_001,ee1,3,13,65,long,495.842078635765,2132.30996849809,0.000385005064046977
SW_001,ee1,5,15,50,long,363.101882795747,2720.6064499409,0.00855251130883167
SW_001,ii1,5,24,65,long,419.018236192996,901.060617825464,9.51077780949732e-05
SW_001,oo1,3,32,35,long,421.296127545523,450.821644607535,0.000335403863148791
SW_001,uh1,2,46,35,short,410.822626562026,948.946180375331,0.00191077546927669
SW_001,yh1,3,57,65,short,382.867178928898,2414.64012119794,0.00552385305302321
SW_001,ae1,2,61,50,long,423.766925601257,968.896317154053,0.000118042961263837
SW_001,{,3,77,50,short,680.686913789706,1414.32364040073,0.00886483015515174
SW_001,oah1,5,89,35,short,448.807601021797,798.584879523656,0.00709295690942997
SW_001,oah1,5,89,65,short,419.26232647432,973.188633070796,0.00241899876437781
SW_001,oe1,4,93,35,long,566.448598724813,1707.06454160919,0.00532602249675394
SW_001,oe1,4,93,65,long,624.095939686575,1634.62613053935,0.00568464312393589
SW_001,9,2,106,35,short,632.617192074254,1248.81929116658,0.00661757420159409
SW_002,aa1,4,113,65,long,577.67707691179,1098.99129308047,0.00721106445523302
SW_002,aa1,5,114,65,long,559.403026193933,1134.46274324439,0.0092130384699139
SW_002,ah1,7,126,65,short,692.044219779408,1461.6258061412,0.00290461459577638
SW_002,ah1,9,128,35,short,682.240948709015,1327.90358595864,9.3201586575114e-05
SW_002,ee1,5,133,65,long,498.698745086954,2046.30738701386,0.00875018500358903
SW_002,ee1,8,136,35,long,388.443495105085,1639.00364042891,5.95817283384721e-07
SW_002,eh1,2,140,65,short,645.04428801982,1035.85234464924,1.11882294783575e-06
SW_002,eh1,14,242,50,short,718.014296921225,1252.3222599658,0.001651963097691
SW_002,eh1,15,243,50,short,771.875519210118,1200.77314742297,0.0016514274512172
SW_002,ii1,6,154,50,long,390.495146816633,1091.59179061167,0.00140961345530172
SW_002,ii1,8,156,65,long,367.60720518032,883.592724320308,4.83666097218758e-05
SW_002,ih1,1,159,65,short,404.801824630613,1157.2015866983,0.0077182128755123
SW_002,ih1,7,165,65,short,380.17747350014,2435.08783239661,0.00534009587242175
SW_002,ih1,8,166,35,short,437.433357062277,729.942456863718,0.00861970228073286
SW_002,ih1,8,166,65,short,384.885767074052,1982.11918679872,0.00601455583395376
SW_002,oo1,9,177,35,long,465.930446553043,515.069283736017,0.00713949357677244
SW_002,oh1,7,185,65,short,392.823530993274,864.234203354337,0.00752909059595885
SW_002,oh1,8,186,65,short,385.647465017039,862.052626313234,0.00293775288385855
SW_002,oh1,9,187,35,short,481.403065097339,502.58276369672,0.00269404319696099
SW_002,oh1,10,188,65,short,378.645430199078,896.530692045574,0.00268108623816342
SW_002,uh1,8,206,65,short,378.728941291521,1320.88435363155,0.00616185023461776
SW_002,ae1,2,230,65,long,778.494506481376,1779.14774386322,0.00478808922766675
SW_002,ae1,4,232,65,long,795.892303751726,1700.38931854791,0.00220476860199213
SW_002,{:,2,250,65,long,723.55905549293,1704.49835232614,0.00142475504574227
SW_002,{:,10,258,65,long,849.997840905732,1600.36319781932,0.000407635648496537
SW_002,{,4,262,65,short,906.81858746155,1518.70349995179,0.0002727161566002
SW_002,{,9,267,65,short,697.139002966203,1920.02382823256,0.00206920794366217
SW_002,{,10,268,65,short,708.48088334321,1884.31338702111,0.00251389812860259
SW_002,oah1,10,288,50,short,496.327724489054,900.605345001773,0.0098207590443873
SW_002,oe1,3,291,65,long,525.67090547413,1423.06314439138,0.000690371801251843
SW_002,oe1,4,292,65,long,507.695561755257,1454.71351977404,0.000287132226961376
SW_002,oeh1,9,307,65,short,514.647995628506,1647.02138833645,0.00112560968150283
SW_002,oeh1,10,308,65,short,524.107448362157,1603.43166003667,0.0012784395342013
SW_002,9:,9,317,50,long,575.971479844342,1214.30962402164,0.00731028825793177
SW_002,9,3,321,35,short,586.387196141798,1265.19230275702,0.00838295305593289
SW_002,9,5,323,35,short,533.260327405039,1311.97211539777,0.0037557073954005
