Talker,Vowel,Token,Trial,Location,Quantity,F0,F1,F2,F3,Duration,cumulative_probability,outlier_source
SW_001,ii1,1,20,80,long,225.391756722457,332.004433880605,2520.25029637513,3501.48270512712,0.183278947812077,0.00999560667194479,F1_univariate
SW_001,ii1,5,24,35,long,239.342150495106,431.817988454976,2439.67047059011,3271.02436001857,0.210000000000001,0.00818872793757026,F3_univariate
SW_001,ih1,5,29,80,short,218.386234599289,429.088348672038,2550.87261640126,3096.30674965451,0.0828994820810749,0.0025317471607297,F2_univariate
SW_001,yy1,3,52,80,long,184.083384085442,327.310335720539,2161.76071914089,3413.42883899321,0.258451326488085,0.0051926169799809,F2_univariate
SW_001,yy1,5,54,35,long,190.877438928611,393.971967970717,2300.42364332855,3232.99941246996,0.25,0.00575715188861141,F3_univariate
SW_001,yh1,3,57,80,short,188.49213049214,381.649271892986,2275.71127648688,2986.55285639905,0.104030722611554,0.00195290881139402,F2_univariate
SW_001,yh1,4,58,80,short,217.204201254112,439.756160946889,2454.4739560546,3073.62720926718,0.110532642774785,0.994900515357718,F1_univariate
SW_001,ee1,2,12,80,long,185.350367126757,674.010200632864,2131.22693785721,3022.12978417085,0.240571046039221,0.990344054529861,F1_univariate
SW_001,eh1,8,68,50,short,197.156401248206,618.101710883546,986.94034138371,2205.28376534343,0.0977276883730269,0.00594419544675048,F2_univariate
SW_001,eh1,9,69,50,short,205.172151390348,649.341377025854,1048.41109196493,2334.78749795913,0.104649060222243,0.00924771563939435,F2_univariate
SW_001,ae1,3,62,35,long,167.241753793614,747.958902427559,1065.62187776382,2242.24253318522,0.249761653928346,0.00594498682765829,F2_univariate
SW_001,{:,2,71,20,long,185.295451227977,622.672173170202,891.457680972433,1869.73565612006,0.257217656006532,0.00395308537631212,F1_univariate
SW_001,{:,5,74,80,long,223.471932063304,610.909652503657,899.893001889323,2174.66794520293,0.245250104667861,0.00266447241945877,F1_univariate
SW_001,{,3,77,20,short,219.01204817294,705.380046599556,1603.50945124464,1928.84846205547,0.157671563958161,0.00976799735834336,F3_univariate
SW_001,oeh1,1,95,20,short,194.788828027803,726.244023434542,2000.45694028479,2952.10681099324,0.0822782976196947,0.993392490295762,F1_univariate
SW_001,9:,3,102,20,long,196.665565930839,734.830825671731,1420.31424948305,2857.566892442,0.2004714795344,0.998150403416592,F2_univariate
SW_001,9,2,106,20,short,216.29429075355,610.555038254375,999.287167925649,2844.34309164923,0.1479186837133,0.0018920679157189,F2_univariate
SW_001,9,4,108,50,short,224.002942670576,530.493428557692,1618.99618007947,2339.59759082752,0.139791283509254,0.00202277093932835,F3_univariate
SW_001,aa1,5,5,80,long,195.771524327045,633.945469407416,1012.06871953888,2737.82324890738,0.221120599199491,0.00612476116466068,F3_univariate
SW_001,ah1,3,8,50,short,197.546060734193,758.151497269786,1571.95507012848,2113.00882172871,0.0899999999999999,0.00921521809741362,F3_univariate
SW_001,oa1,2,81,80,long,204.834314390762,610.970805661817,1103.19969942535,2721.03701662804,0.219999999999999,0.998003536622954,F1_univariate
SW_001,oah1,4,88,80,short,196.213696989172,434.03579633323,1107.75118121219,3211.32192968165,0.110000000000014,0.991830849458961,F2_univariate
SW_001,oah1,5,89,80,short,205.490439980013,400.207465560403,1038.42165046809,3129.61662425667,0.114252525664426,0.00133035235925843,F1_univariate
SW_001,oo1,1,30,35,long,240.343859742963,460.698009716815,733.281090427371,2895.5990094343,0.185995108113787,0.99043479099564,F3_univariate
SW_001,oo1,5,34,80,long,178.83963876281,335.459737960442,956.172026029978,2786.43280498684,0.209999999999994,0.995403679117954,F2_univariate
SW_001,oh1,5,39,80,short,199.490763541339,415.467034826075,2533.9445050004,3892.71338973236,0.110368826366596,0.999998529437106,F2_univariate
SW_001,oh1,5,39,80,short,199.490763541339,415.467034826075,2533.9445050004,3892.71338973236,0.110368826366596,0.999673368608656,F3_univariate
SW_002,ii1,1,149,20,long,210.423498989109,296.16233886577,2150.52830552209,2161.70149806052,0.208657555327548,0.005840781840263,F1_univariate
SW_002,ii1,6,154,35,long,198.306457687291,423.476426395198,1207.45658240289,2076.98064382047,0.258040718251209,0.00246878791532921,F2_univariate
SW_002,ih1,7,165,80,short,211.168281519441,370.403868684251,2420.320003322,2546.39253663288,0.129234145049026,0.00728358734991157,F1_univariate
SW_002,yy1,8,216,80,long,206.443868311881,349.840115689288,1861.04243928537,3251.58365297106,0.235853671270092,0.00183587145292418,F3_univariate
SW_002,yy1,9,217,50,long,190.876647123257,379.184842269361,1894.91658319863,3266.25987799857,0.261939889132918,0.00354458933019749,F3_univariate
SW_002,yh1,1,219,20,short,247.183702198835,414.228162505841,2390.12411340908,2772.06101270712,0.117034562937988,0.994713577251748,F0_univariate
SW_002,yh1,1,219,35,short,247.183702198835,438.3399647346,2349.69564709406,2639.83306280853,0.117034562937988,0.994713577251748,F0_univariate
SW_002,yh1,1,219,50,short,247.183702198835,463.691014114966,2239.57993095432,2759.74766567446,0.117034562937988,0.994713577251748,F0_univariate
SW_002,yh1,1,219,65,short,247.183702198835,461.164193540664,2245.33235149403,2830.59811716715,0.117034562937988,0.994713577251748,F0_univariate
SW_002,yh1,1,219,80,short,247.183702198835,438.324366539474,2185.14144551118,2889.94242382495,0.117034562937988,0.994713577251748,F0_univariate
SW_002,uu1,5,193,65,long,196.547220684499,367.162395112475,1630.67418836941,2575.79251699756,0.280000000000001,0.00342390123786816,F3_univariate
SW_002,uu1,7,195,20,long,190.595507097943,476.44619427058,1861.0166487824,2756.18638981241,0.310000000000002,0.994982564008746,Duration_univariate
SW_002,uu1,7,195,35,long,190.595507097943,434.561668158875,1735.82309120823,2771.11690466724,0.310000000000002,0.994982564008746,Duration_univariate
SW_002,uu1,7,195,50,long,190.595507097943,376.905678920646,1662.11383141367,2669.62701400216,0.310000000000002,0.994982564008746,Duration_univariate
