Talker,Vowel,Token,Trial,Location,Quantity,F0,F1,F2,F3,Duration,cumulative_probability,outlier_source
SW_002,yh1,1,219,20,short,242.37,414.228162505841,2390.12411340908,2772.06101270712,0.117034562937988,0.992060680074139,F0_univariate
SW_002,yh1,1,219,35,short,242.37,438.3399647346,2349.69564709406,2639.83306280853,0.117034562937988,0.992060680074139,F0_univariate
SW_002,yh1,1,219,50,short,242.37,463.691014114966,2239.57993095432,2759.74766567446,0.117034562937988,0.992060680074139,F0_univariate
SW_002,yh1,1,219,65,short,242.37,461.164193540664,2245.33235149403,2830.59811716715,0.117034562937988,0.992060680074139,F0_univariate
SW_002,yh1,1,219,80,short,242.37,438.324366539474,2185.14144551118,2889.94242382495,0.117034562937988,0.992060680074139,F0_univariate
SW_002,oe1,6,294,20,long,207.2,667.891821058817,1663.90787104608,2785.39973104197,0.25,0.995135559720898,F0_univariate
SW_002,oe1,6,294,35,long,207.2,667.835838041333,1623.16110407418,2836.36462605407,0.25,0.995135559720898,F0_univariate
SW_002,oe1,6,294,50,long,207.2,660.688176951295,1562.59474064864,2859.1425883858,0.25,0.995135559720898,F0_univariate
SW_002,oe1,6,294,65,long,207.2,632.563806943481,1508.81545162487,2909.45579371219,0.25,0.995135559720898,F0_univariate
SW_002,oe1,6,294,80,long,207.2,628.82373928318,1470.7454751178,2959.57948659269,0.25,0.995135559720898,F0_univariate
SW_003,ah1,2,340,20,short,194.515,877.271830736415,1337.27560092257,3117.97795408561,0.119999999999997,0.00352127891769045,F0_univariate
SW_003,ah1,2,340,35,short,194.515,917.542600970757,1291.51959055217,3118.64897889329,0.119999999999997,0.00352127891769045,F0_univariate
SW_003,ah1,2,340,50,short,194.515,912.415403226315,1294.49401138187,3143.62859157117,0.119999999999997,0.00352127891769045,F0_univariate
SW_003,ah1,2,340,65,short,194.515,858.777402617544,1250.69804883656,3162.66281149255,0.119999999999997,0.00352127891769045,F0_univariate
SW_003,ah1,2,340,80,short,194.515,810.004125849114,1244.19839316309,3188.37433081156,0.119999999999997,0.00352127891769045,F0_univariate
SW_005,ah1,6,675,20,short,181.6136,930.738999387816,1321.37574905827,2850.14207091271,0.124556161824934,0.00917100531499803,F0_univariate
SW_005,ah1,6,675,35,short,181.6136,927.039353773524,1291.78878211288,2873.15761279192,0.124556161824934,0.00917100531499803,F0_univariate
SW_005,ah1,6,675,50,short,181.6136,873.919780788628,1313.22069796775,2940.66499547087,0.124556161824934,0.00917100531499803,F0_univariate
SW_005,ah1,6,675,65,short,181.6136,751.67594607298,1397.6251744557,3066.79195777189,0.124556161824934,0.00917100531499803,F0_univariate
SW_005,ah1,6,675,80,short,181.6136,699.516060812753,1388.16306518311,3206.1287937013,0.124556161824934,0.00917100531499803,F0_univariate
SW_005,ih1,1,710,20,short,245.998,370.317415424395,1675.56328506396,2872.2322473045,0.105350185044784,0.994550432716402,F0_univariate
SW_005,ih1,1,710,35,short,245.998,360.203668907899,2394.79301333621,2899.06519157438,0.105350185044784,0.994550432716402,F0_univariate
SW_005,ih1,1,710,50,short,245.998,381.534325175329,2326.45715592043,2855.44946692688,0.105350185044784,0.994550432716402,F0_univariate
SW_005,ih1,1,710,65,short,245.998,412.492186767781,1980.58790766453,2756.46227288691,0.105350185044784,0.994550432716402,F0_univariate
SW_005,ih1,1,710,80,short,245.998,431.280725806519,2026.76751604322,2555.31094900332,0.105350185044784,0.994550432716402,F0_univariate
SW_005,uh1,1,750,20,short,251.1205,461.033213229506,1259.12490311205,2892.10558002529,0.110716588288881,0.992507705071529,F0_univariate
SW_005,uh1,1,750,35,short,251.1205,472.574348430164,1367.53505195649,2939.97518373828,0.110716588288881,0.992507705071529,F0_univariate
SW_005,uh1,1,750,50,short,251.1205,476.416244459531,1486.27796697121,2908.96040232869,0.110716588288881,0.992507705071529,F0_univariate
SW_005,uh1,1,750,65,short,251.1205,477.459431902488,1551.46935431181,2998.10168677845,0.110716588288881,0.992507705071529,F0_univariate
SW_005,uh1,1,750,80,short,251.1205,470.303234117276,1595.36579781321,3035.64943381509,0.110716588288881,0.992507705071529,F0_univariate
SW_005,oah1,1,829,20,short,246.1713,703.663809797786,811.402641981492,3147.79851423026,0.139999999999986,0.995097300293373,F0_univariate
SW_005,oah1,1,829,35,short,246.1713,616.737101966893,858.970211730403,3235.07413089159,0.139999999999986,0.990632880740854,F0_univariate
SW_005,oah1,1,829,50,short,246.1713,579.600370032677,783.594633584865,3285.32682415342,0.139999999999986,0.990632880740854,F0_univariate
SW_005,oah1,1,829,65,short,246.1713,599.63381760353,859.952678096939,3284.05766960285,0.139999999999986,0.990632880740854,F0_univariate
SW_005,oah1,1,829,80,short,246.1713,528.269307215114,1002.32561780519,3291.95859702575,0.139999999999986,0.990632880740854,F0_univariate
SW_006,yh1,10,997,20,short,159.1403,396.190241535982,2275.84953687871,3046.64028694857,0.0982855902777828,1.24977075528168e-05,F0_univariate
SW_006,yh1,10,997,35,short,159.1403,393.615480078341,2168.06811025127,2745.91952800904,0.0982855902777828,0.00185408031605738,F0_univariate
SW_006,yh1,10,997,50,short,159.1403,399.481019213277,2186.45827963979,2736.85900526277,0.0982855902777828,0.00185408031605738,F0_univariate
SW_006,yh1,10,997,65,short,159.1403,394.916618003911,2169.48968731575,2783.98602968932,0.0982855902777828,0.00185408031605738,F0_univariate
SW_006,yh1,10,997,80,short,159.1403,362.857289022165,2114.9148369705,2747.61342203852,0.0982855902777828,0.00185408031605738,F0_univariate
SW_007,aa1,1,1098,20,long,214.8158,557.765045203703,970.519238896192,2354.52138658947,0.21,0.991120887156722,F0_univariate
SW_007,aa1,1,1098,35,long,214.8158,564.113178505387,1022.36535562876,2498.21815785228,0.21,0.991120887156722,F0_univariate
SW_007,aa1,1,1098,50,long,214.8158,535.689719805192,994.19758879482,2424.19398011439,0.21,0.991120887156722,F0_univariate
SW_007,aa1,1,1098,65,long,214.8158,467.031187440445,968.265104908059,2669.54483375563,0.21,0.991120887156722,F0_univariate
