Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_025,oa1,8,128,65,long,447,2489.74673149513,2627
SW_026,oo1,1,281,50,long,398.218931713712,1465.93269672962,2765.94827281847
SW_026,oo1,1,281,65,long,429.727867245672,1974.60799088681,2942.32228333436
SW_026,oo1,2,282,65,long,336.335503472792,1286.74270040516,3071.8308694426
SW_026,oo1,2,282,80,long,393.624413747433,1616.07136383828,2555.68394473039
SW_026,oo1,4,284,50,long,396.26166106265,1276.28813040044,2792.31290506403
SW_026,oo1,4,284,65,long,324,1892.4996352456,2927.01949124534
SW_026,oo1,4,284,80,long,290.504192093948,1490.48921578075,2379.75716836153
SW_026,oo1,5,285,50,long,414.621763146119,1305.92236616016,3105.43808090809
SW_026,oo1,5,285,65,long,394.079542850228,1554.76897926814,2689.54400942207
SW_026,oo1,5,285,80,long,393.86964024436,1559.72980993274,2789.31421142407
SW_026,oo1,6,286,50,long,401.165402589231,1712.26495365777,2763
SW_026,oo1,6,286,65,long,376.611712855648,1254.85466380686,2605.2654129055
SW_026,oo1,6,286,80,long,442.553536144164,1715.42187720462,2904.29951341975
SW_026,oo1,7,287,65,long,442.22214251851,2256.82193822264,2631
SW_026,oo1,7,287,80,long,416.187138555192,1700.05390474041,3195.80296150124
SW_026,oo1,8,288,65,long,330.341715323792,1572.52920425273,3124.61490409716
SW_026,oo1,8,288,80,long,292.070949466676,1364.271678837,2709.34907532749
SW_026,oo1,10,290,65,long,412.526624553396,1616.84639548783,3255.75871460965
SW_026,oh1,8,298,20,short,459,722.768227990616,2714.70372360771
SW_026,oa1,3,383,50,long,449.506489877827,2184.11721807545,3423.81097252209
SW_026,oa1,7,387,35,long,414.129586845199,1947.37411423028,3458.25909759865
SW_026,oa1,8,388,35,long,369.153964469035,1670.20199922226,3046.05235238809
SW_026,oa1,10,390,35,long,369.454718348924,2421,3084.24289786217
SW_029,oo1,3,943,80,long,405,1202,2518
SW_029,oh1,1,951,20,short,546,799.005108218271,2554.2618081411
SW_029,oh1,1,951,35,short,490.315899731591,801.731401088542,2524.45094436905
SW_030,oh1,2,1172,20,short,475.127155250039,813.852485068981,3021.6488581795
SW_030,oh1,2,1172,35,short,498.687375105367,858.128999316095,3070.64707598951
SW_030,oh1,3,1173,20,short,464.670925789158,777.555338559963,2587.47641126981
SW_030,oh1,3,1173,35,short,494.09814339488,803.201275001378,2698.10884505622
SW_030,oh1,4,1174,20,short,464.508060115483,829.837350426151,2644.70243926912
SW_030,oh1,4,1174,35,short,454.650283264552,717.186438451794,2551.08523832767
SW_030,oh1,5,1175,20,short,482.670470039039,699.67495252902,2769.10549469684
SW_030,oh1,5,1175,35,short,515.591371580822,781.728854157959,2840.2620403852
SW_030,oh1,7,1177,20,short,480.706784898478,912.575288305986,2617.89217824891
SW_030,oh1,7,1177,35,short,510.391798362932,988.117293776411,2656.6251029569
SW_030,oh1,8,1178,20,short,478.825454537096,805.774939340617,2757.41206249003
SW_030,oh1,8,1178,35,short,462.020180963706,793.739633099491,2794.85207989864
SW_030,oh1,10,1180,20,short,492.285656314941,927.177446038688,2552.02279833039
SW_030,oh1,10,1180,35,short,486.814772770836,816.975106694055,2489.18170310983
SW_031,oh1,2,1392,20,short,451.12970350975,774.226790944025,2585.73723699549
SW_031,oh1,2,1392,35,short,461.578722677197,785.618398747225,2563.26363815093
SW_031,oh1,2,1392,80,short,385.166540993146,1210,2946
SW_031,oh1,4,1394,20,short,497.026605312895,908.692649194619,2497.63536604468
SW_031,oh1,4,1394,35,short,563,861.421814671653,2441.81899856598
SW_031,oh1,6,1396,20,short,451.328969060255,837.553816040043,2390.43035309574
SW_031,oa1,1,1481,80,long,532.203462994018,1321.77473187668,2326.25625244126
SW_031,oa1,2,1482,80,long,494.897285148008,1257.25359448154,2236.9844229543
SW_031,oa1,3,1483,80,long,405.470407483227,1275.05603832056,2457.49311629852
SW_031,oa1,4,1484,80,long,485.567112434331,1205.96354559284,2436.18685977348
SW_031,oa1,6,1486,80,long,448.153148854612,1240.78133200186,2362.51042563209
SW_031,oa1,7,1487,80,long,497.264368803768,1211.61407068001,2249.10777484651
SW_031,oa1,8,1488,80,long,485.474234844052,1245.29000152851,2382.39721276608
SW_031,oa1,10,1490,80,long,477.580518835278,1276.92807345902,2353.52261628003
SW_032,aa1,1,1541,20,long,611.377860052792,774.523658071197,2528.65712838305
SW_032,aa1,1,1541,35,long,597.645346780228,811.639952314933,2737.09898090765
SW_032,aa1,1,1541,50,long,546.508046719797,774.145050136737,2748.47955953571
SW_032,aa1,1,1541,65,long,517.411041012199,768.18187823387,2629.33903217325
SW_032,aa1,1,1541,80,long,547.523591565832,792.905984642951,2546.43101779723
SW_032,aa1,2,1542,20,long,628.334252417661,779.525823205388,2669.71490728989
SW_032,aa1,2,1542,35,long,634.863599160211,779.224945680462,2737.76707996077
SW_032,aa1,2,1542,50,long,584.810349319489,755.59602443984,2842.90984159745
SW_032,aa1,2,1542,65,long,586.263979240168,751.854513209913,2688.31457366136
SW_032,aa1,2,1542,80,long,653.223671206691,730.363689658393,2664.81321016025
SW_032,aa1,3,1543,20,long,591.428868385473,829.253322689546,2541.80834049846
SW_032,aa1,3,1543,35,long,544.239140584062,757.026701880096,2612.68463267525
SW_032,aa1,3,1543,50,long,403.154051803293,686.048715938259,2636.119243604
SW_032,aa1,3,1543,65,long,602.260647481857,732.580830271066,2662.22757816483
SW_032,aa1,3,1543,80,long,623.997851449054,754.176665444167,2609.2265520685
SW_032,aa1,4,1544,20,long,537.355379495976,852.154311331297,2549.90021898471
SW_032,aa1,4,1544,35,long,565.43033813314,842.069794351123,2540.29977987292
SW_032,aa1,4,1544,50,long,626.432767081057,759.828786659962,2572.16799960172
SW_032,aa1,4,1544,65,long,488.699350017261,754.008284402338,2608.21536293088
SW_032,aa1,4,1544,80,long,444.584501630792,720.107195204145,2589.90989293443
SW_032,aa1,5,1545,20,long,561.31381218044,834.989897646705,2578.30316029818
SW_032,aa1,5,1545,35,long,591.274394857429,760.426279522699,2628.45719423022
SW_032,aa1,5,1545,50,long,606.637311858003,734.219230985358,2643.56607371681
SW_032,aa1,5,1545,65,long,518.736768349991,766.585863319634,2605.87436095044
SW_032,aa1,5,1545,80,long,654.853794619824,866.22090968127,2529.92351692269
SW_032,aa1,6,1546,20,long,684.430092680696,765.685176520409,2544.88718578152
SW_032,aa1,6,1546,35,long,496.537789653175,717.828516746644,2586.18069712037
SW_032,aa1,6,1546,50,long,755.267830641704,2620.06429193847,3539.36907912458
SW_032,aa1,6,1546,65,long,735.687460508417,2637.62390963989,3535.0544356474
SW_032,aa1,6,1546,80,long,628.3461505344,1160.458890927,2816.91724212693
SW_032,aa1,7,1547,20,long,512.32049110393,754.393818574652,2518.24429360319
SW_032,aa1,7,1547,35,long,738.207178354734,2579.44172332102,3293.23497243011
SW_032,aa1,7,1547,50,long,767.764434486911,2694.82751725297,3343.1444093163
SW_032,aa1,7,1547,65,long,483.201220143198,695.867270952158,2929.51862528933
SW_032,aa1,7,1547,80,long,697.136005428307,2627.0456420823,3288.15177628884
SW_032,aa1,8,1548,20,long,732.270247561368,2712.84368538985,3092.90034074437
SW_032,aa1,8,1548,35,long,675.391593455025,2822.30237033048,3432.17699831452
SW_032,aa1,8,1548,50,long,738.01397434815,2884.8003801033,3358.77501160401
SW_032,aa1,8,1548,65,long,687.283575232003,2688.42946408783,3400.08599430692
SW_032,aa1,8,1548,80,long,649.808067217939,1455.06054496497,3072.98663031874
SW_032,aa1,9,1549,20,long,734.864343693436,2302.00929329652,3473.67732484911
SW_032,aa1,9,1549,35,long,758.752003742149,2745.77206098809,3420.28850286322
SW_032,aa1,9,1549,50,long,743.360495226273,2893.0601967507,3538.39283566777
SW_032,aa1,9,1549,65,long,711.228838112843,2642.97482827625,3294.02252048977
SW_032,aa1,9,1549,80,long,705.516972778845,3012.67102942322,3325.98810231246
SW_032,aa1,10,1550,20,long,706.121368840949,789.332349919422,2533.93818861346
SW_032,aa1,10,1550,35,long,396.649140202263,763.983554623903,2619.54480463381
SW_032,aa1,10,1550,50,long,411.245301508587,756.504197586019,2717.12045850509
SW_032,aa1,10,1550,65,long,410.742378000541,725.898878137143,2717.09825122719
SW_032,aa1,10,1550,80,long,644.032993213192,1175.44915578767,2819.15501208748
SW_032,oo1,2,1602,20,long,516.887893152083,563.811787638921,2122.91128771187
SW_032,oo1,2,1602,80,long,517.370209289991,1535,2555.62735451646
SW_032,oo1,3,1603,65,long,421.311144635266,1224.16760433319,2746.73532296027
SW_032,oo1,4,1604,65,long,466.482217279045,1374.8982524956,2596.97284808882
SW_032,oo1,5,1605,80,long,600,1718.14781633419,2412.89145021574
SW_032,oo1,8,1608,65,long,390.496046667659,1666.51184061691,2686.75172363709
SW_032,oh1,1,1611,50,short,435.783972193074,1302.78777249725,2655.83282653762
SW_032,oh1,2,1612,20,short,468.487027488949,1022.62550947906,2692.23486761596
SW_032,oh1,4,1614,80,short,556.63211262372,1740.39538361804,2760.32777803963
SW_032,oa1,1,1701,20,long,377.612918543993,1696.72348164526,2554.51621226787
SW_032,oa1,1,1701,35,long,373.995351531509,1818.13286658823,2490
SW_032,oa1,4,1704,50,long,475.143111561098,1338.04724878511,2509.97688539528
SW_032,oa1,7,1707,65,long,465.675204122086,1237.15235378317,2462.46474798658
SW_032,oa1,8,1708,80,long,627.508976974357,1392.58508776809,2503.15102003117
SW_033,oo1,2,1822,65,long,210.476860409306,1298.83360304006,2567.80858744169
SW_033,oo1,3,1823,65,long,338.367350543268,1833.71996699473,2666.42303697373
SW_033,oo1,6,1826,50,long,317.182827288424,1744.9631517584,2863.56269359478
SW_033,oo1,6,1826,65,long,204,1406.94919642734,2555.26306558349
SW_033,oo1,9,1829,65,long,214.251481379291,1975.77005112059,2796.09286185961
SW_033,oo1,9,1829,80,long,314.403928390312,1879.39630126282,2784.48130192688
SW_033,oa1,3,1923,35,long,411.639217616386,2017.63919922578,3257.39932544117
SW_033,oa1,4,1924,65,long,442,2021.67412544836,2964.37258211604
SW_033,oa1,5,1925,65,long,358.829472559044,1340.05900860673,2850.11572933896
SW_033,oa1,9,1929,65,long,380.596931624442,1933.98739971936,2871.45268868409
